p1,r,p2
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1603.06042,title: Globally Normalized Transition-Based Neural Networks,authors: [Daniel Andor, Chris Alberti, David Weiss, Aliaksei Severyn, Alessandro Presta, Kuzman Ganchev, Slav Petrov, Michael Collins]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1505.08075,title: Transition-Based Dependency Parsing with Stack Long Short-Term Memory,authors: [Chris Dyer, Miguel Ballesteros, Wang Ling, Austin Matthews, Noah A. Smith]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.06158,title: Structured Training for Neural Network Transition-Based Parsing,authors: [David Weiss, Chris Alberti, Michael Collins, Slav Petrov]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1404.5367,title: Lexicon Infused Phrase Embeddings for Named Entity Resolution,authors: [Alexandre Passos, Vineet Kumar, Andrew McCallum]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.08308,title: Named Entity Recognition with Bidirectional LSTM-CNNs,authors: [Jason P. C. Chiu, Eric Nichols]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1702.02098,title: Fast and Accurate Entity Recognition with Iterated Dilated Convolutions,authors: [Emma Strubell, Patrick Verga, David Belanger, Andrew McCallum]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1609.08144,title: Google's Neural Machine Translation System: Bridging the Gap between
  Human and Machine Translation,authors: [Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean]})"
"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1609.08144,title: Google's Neural Machine Translation System: Bridging the Gap between
  Human and Machine Translation,authors: [Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.03122,title: Convolutional Sequence to Sequence Learning,authors: [Jonas Gehring, Michael Auli, David Grangier, Denis Yarats, Yann N. Dauphin]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1502.05698,title: Towards AI-Complete Question Answering: A Set of Prerequisite Toy Tasks,authors: [Jason Weston, Antoine Bordes, Sumit Chopra, Alexander M. Rush, Bart van Merriënboer, Armand Joulin, Tomas Mikolov]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1606.05250,title: SQuAD: 100,000+ Questions for Machine Comprehension of Text,authors: [Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, Percy Liang]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1704.00051,title: Reading Wikipedia to Answer Open-Domain Questions,authors: [Danqi Chen, Adam Fisch, Jason Weston, Antoine Bordes]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.09541,title: QANet: Combining Local Convolution with Global Self-Attention for
  Reading Comprehension,authors: [Adams Wei Yu, David Dohan, Minh-Thang Luong, Rui Zhao, Kai Chen, Mohammad Norouzi, Quoc V. Le]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1506.06714,title: A Neural Network Approach to Context-Sensitive Generation of
  Conversational Responses,authors: [Alessandro Sordoni, Michel Galley, Michael Auli, Chris Brockett, Yangfeng Ji, Margaret Mitchell, Jian-Yun Nie, Jianfeng Gao, Bill Dolan]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1510.03055,title: A Diversity-Promoting Objective Function for Neural Conversation Models,authors: [Jiwei Li, Michel Galley, Chris Brockett, Jianfeng Gao, Bill Dolan]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.06931,title: Evaluating Prerequisite Qualities for Learning End-to-End Dialog Systems,authors: [Jesse Dodge, Andreea Gane, Xiang Zhang, Antoine Bordes, Sumit Chopra, Alexander Miller, Arthur Szlam, Jason Weston]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1508.05326,title: A large annotated corpus for learning natural language inference,authors: [Samuel R. Bowman, Gabor Angeli, Christopher Potts, Christopher D. Manning]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1712.03556,title: Stochastic Answer Networks for Machine Reading Comprehension,authors: [Xiaodong Liu, Yelong Shen, Kevin Duh, Jianfeng Gao]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.07461,title: GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language
  Understanding,authors: [Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, Samuel R. Bowman]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1708.00055,title: SemEval-2017 Task 1: Semantic Textual Similarity - Multilingual and
  Cross-lingual Focused Evaluation,authors: [Daniel Cer, Mona Diab, Eneko Agirre, Iñigo Lopez-Gazpio, Lucia Specia]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.09406,title: Multimodal Machine Learning: A Survey and Taxonomy,authors: [Tadas Baltrušaitis, Chaitanya Ahuja, Louis-Philippe Morency]})"
"(:Paper {publication_year: 2017,paper_index: 1710.11431,title: Physics-guided Neural Networks (PGNN): An Application in Lake
  Temperature Modeling,authors: [Arka Daw, Anuj Karpatne, William Watkins, Jordan Read, Vipin Kumar]})",[:CITES],"(:Paper {publication_year: 2012,paper_index: 1212.5701,title: ADADELTA: An Adaptive Learning Rate Method,authors: [Matthew D. Zeiler]})"
"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.1556,title: Very Deep Convolutional Networks for Large-Scale Image Recognition,authors: [Karen Simonyan, Andrew Zisserman]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.1556,title: Very Deep Convolutional Networks for Large-Scale Image Recognition,authors: [Karen Simonyan, Andrew Zisserman]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.1556,title: Very Deep Convolutional Networks for Large-Scale Image Recognition,authors: [Karen Simonyan, Andrew Zisserman]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1409.1556,title: Very Deep Convolutional Networks for Large-Scale Image Recognition,authors: [Karen Simonyan, Andrew Zisserman]})"
"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.04167,title: Tensorial Mixture Models,authors: [Or Sharir, Ronen Tamari, Nadav Cohen, Amnon Shashua]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.04167,title: Tensorial Mixture Models,authors: [Or Sharir, Ronen Tamari, Nadav Cohen, Amnon Shashua]})"
"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1802.09558,title: Constructing exact representations of quantum many-body systems with
  deep neural networks,authors: [Giuseppe Carleo, Yusuke Nomura, Masatoshi Imada]})"
"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1710.09431,title: On the Long-Term Memory of Deep Recurrent Networks,authors: [Yoav Levine, Or Sharir, Alon Ziv, Amnon Shashua]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.09507,title: L2-constrained Softmax Loss for Discriminative Face Verification,authors: [Rajeev Ranjan, Carlos D. Castillo, Rama Chellappa]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.07289,title: Fast and Accurate Deep Network Learning by Exponential Linear Units
  (ELUs),authors: [Djork-Arné Clevert, Thomas Unterthiner, Sepp Hochreiter]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.07289,title: Fast and Accurate Deep Network Learning by Exponential Linear Units
  (ELUs),authors: [Djork-Arné Clevert, Thomas Unterthiner, Sepp Hochreiter]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1412.6572,title: Explaining and Harnessing Adversarial Examples,authors: [Ian J. Goodfellow, Jonathon Shlens, Christian Szegedy]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1312.6199,title: Intriguing properties of neural networks,authors: [Christian Szegedy, Wojciech Zaremba, Ilya Sutskever, Joan Bruna, Dumitru Erhan, Ian Goodfellow, Rob Fergus]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.07204,title: Ensemble Adversarial Training: Attacks and Defenses,authors: [Florian Tramèr, Alexey Kurakin, Nicolas Papernot, Ian Goodfellow, Dan Boneh, Patrick McDaniel]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1801.05599,title: Additive Margin Softmax for Face Verification,authors: [Feng Wang, Weiyang Liu, Haijun Liu, Jian Cheng]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1704.06369,title: NormFace: L2 Hypersphere Embedding for Face Verification,authors: [Feng Wang, Xiang Xiang, Jian Cheng, Alan L. Yuille]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1611.01236,title: Adversarial Machine Learning at Scale,authors: [Alexey Kurakin, Ian Goodfellow, Samy Bengio]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.10284,title: Feature Incay for Representation Regularization,authors: [Yuhui Yuan, Kuiyuan Yang, Chao Zhang]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1710.00870,title: Rethinking Feature Discrimination and Polymerization for Large-scale
  Recognition,authors: [Yu Liu, Hongyang Li, Xiaogang Wang]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.08401,title: Universal adversarial perturbations,authors: [Seyed-Mohsen Moosavi-Dezfooli, Alhussein Fawzi, Omar Fawzi, Pascal Frossard]})"
"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.00768,title: Technical Report on the CleverHans v2.1.0 Adversarial Examples Library,authors: [Nicolas Papernot, Fartash Faghri, Nicholas Carlini, Ian Goodfellow, Reuben Feinman, Alexey Kurakin, Cihang Xie, Yash Sharma, Tom Brown, Aurko Roy, Alexander Matyasko, Vahid Behzadan, Karen Hambardzumyan, Zhishuai Zhang, Yi-Lin Juang, Zhi Li, Ryan Sheatsley, Abhibhav Garg, Jonathan Uesato, Willi Gierke, Yinpeng Dong, David Berthelot, Paul Hendricks, Jonas Rauber, Rujun Long, Patrick McDaniel]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.03078,title: Group Invariance, Stability to Deformations, and Complexity of Deep
  Convolutional Representations,authors: [Alberto Bietti, Julien Mairal]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1507.06535,title: Manitest: Are classifiers really invariant?,authors: [Alhussein Fawzi, Pascal Frossard]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1711.09115,title: Geometric robustness of deep networks: analysis and improvement,authors: [Can Kanbak, Seyed-Mohsen Moosavi-Dezfooli, Pascal Frossard]})"
"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1412.6806,title: Striving for Simplicity: The All Convolutional Net,authors: [Jost Tobias Springenberg, Alexey Dosovitskiy, Thomas Brox, Martin Riedmiller]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1502.05385,title: Tensor network renormalization yields the multi-scale entanglement
  renormalization ansatz,authors: [Glen Evenbly, Guifre Vidal]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1703.00365,title: Renormalization group flows of Hamiltonians using tensor networks,authors: [Matthias Bal, Michaël Mariën, Jutho Haegeman, Frank Verstraete]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1301.3124,title: Deep learning and the renormalization group,authors: [Cédric Bény]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1301.3124,title: Deep learning and the renormalization group,authors: [Cédric Bény]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1610.09733,title: PCA meets RG,authors: [Serena Bradde, William Bialek]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2008,paper_index: 0807.2010,title: Tensor-entanglement renormalization group approach to topological phases,authors: [Zheng-Cheng Gu, Michael Levin, Xiao-Gang Wen]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2009,paper_index: 0903.1069,title: Tensor-Entanglement-Filtering Renormalization Approach and Symmetry
  Protected Topological Order,authors: [Zheng-Cheng Gu, Xiao-Gang Wen]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1704.06279,title: Mutual Information, Neural Networks and the Renormalization Group,authors: [Maciej Koch-Janusz, Zohar Ringel]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2010,paper_index: 1002.1405,title: Renormalization of tensor-network states,authors: [H. H. Zhao, Z. Y. Xie, Q. N. Chen, Z. C. Wei, J. W. Cai, T. Xiang]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1803.06111,title: Vulnerability of Deep Learning,authors: [Richard Kenway]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1608.08225,title: Why does deep and cheap learning work so well?,authors: [Henry W. Lin, Max Tegmark, David Rolnick]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1608.08225,title: Why does deep and cheap learning work so well?,authors: [Henry W. Lin, Max Tegmark, David Rolnick]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2012,paper_index: 1201.1144,title: Coarse-graining renormalization by higher-order singular value
  decomposition,authors: [Z. Y. Xie, J. Chen, M. P. Qin, J. W. Zhu, L. P. Yang, T. Xiang]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1609.03541,title: Comment on \""Why does deep and cheap learning work so well?\""
  [arXiv:1608.08225],authors: [David J. Schwab, Pankaj Mehta]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1301.6323,title: Real Space Renormalization in Statistical Mechanics,authors: [Efi Efrati, Zhe Wang, Amy Kolan, Leo P. Kadanoff]})"
